Encoder params: EncoderParams(80,80,80,Attention,Unified,false,gtype.EncoderParams$$$Lambda$6/759156157@61832929)
encodingIterations: 10
trainingEncodingBatch: 1
optimizer: Adam(0.002,0.9,0.999,1.0E-8)
dev set graph size: 252
pos relations: 934, neg relations: 62318, reflexivity: 252
test set graph size: 277
pos relations: 1287, neg relations: 75165, reflexivity: 277
[0] JSCore104 	 loss: 0.69,	 accuracy = 0.5149
[407] Train129 	 loss: 0.28,	 accuracy = 0.8932
[408] JSCore182 	 loss: 0.24,	 accuracy = 0.9104
[409] JSCore103 	 loss: 0.18,	 accuracy = 0.9307
[410] JSCore189 	 loss: 0.20,	 accuracy = 0.9263
[411] Train163 	 loss: 0.24,	 accuracy = 0.9127
[412] JSCore106 	 loss: 0.24,	 accuracy = 0.9067
[413] Train125 	 loss: 0.32,	 accuracy = 0.8564
[414] Train112 	 loss: 0.24,	 accuracy = 0.9069
[415] Train152 	 loss: 0.30,	 accuracy = 0.8829
[416] JSCore115 	 loss: 0.18,	 accuracy = 0.9400
[417] JSCore146 	 loss: 0.23,	 accuracy = 0.9210
[418] JSCore152 	 loss: 0.24,	 accuracy = 0.9105
[419] Train169 	 loss: 0.19,	 accuracy = 0.9350
[420] Train150 	 loss: 0.31,	 accuracy = 0.8527
[421] JSCore186 	 loss: 0.22,	 accuracy = 0.9226
[422] Train104 	 loss: 0.21,	 accuracy = 0.9242
[423] Train196 	 loss: 0.23,	 accuracy = 0.9186
[424] JSCore151 	 loss: 0.21,	 accuracy = 0.9202
[425] Train192 	 loss: 0.23,	 accuracy = 0.9290
[425] dev set  	 loss: 0.20,	 accuracy = 0.9317
[425] test set 	 loss: 0.25,	 accuracy = 0.9133
[426] JSCore124 	 loss: 0.25,	 accuracy = 0.9029
[427] JSCore100 	 loss: 0.26,	 accuracy = 0.9028
[428] JSCore128 	 loss: 0.20,	 accuracy = 0.9304
[429] JSCore140 	 loss: 0.19,	 accuracy = 0.9280
[430] JSCore134 	 loss: 0.22,	 accuracy = 0.9128
[431] JSCore110 	 loss: 0.20,	 accuracy = 0.9097
[432] JSCore138 	 loss: 0.17,	 accuracy = 0.9374
[433] Train101 	 loss: 0.27,	 accuracy = 0.8890
[434] Train132 	 loss: 0.25,	 accuracy = 0.9003
[435] Train192 	 loss: 0.25,	 accuracy = 0.9054
[436] Train131 	 loss: 0.20,	 accuracy = 0.9377
[437] Train177 	 loss: 0.30,	 accuracy = 0.8697
[438] Train145 	 loss: 0.27,	 accuracy = 0.9032
[439] JSCore123 	 loss: 0.21,	 accuracy = 0.9267
[440] JSCore102 	 loss: 0.22,	 accuracy = 0.9096
[441] Train181 	 loss: 0.26,	 accuracy = 0.9215
[442] Train102 	 loss: 0.24,	 accuracy = 0.9082
[443] Train153 	 loss: 0.20,	 accuracy = 0.9254
[444] JSCore156 	 loss: 0.23,	 accuracy = 0.9084
[445] Train165 	 loss: 0.36,	 accuracy = 0.8493
[446] Train111 	 loss: 0.24,	 accuracy = 0.8977
[447] JSCore156 	 loss: 0.23,	 accuracy = 0.9065
[448] JSCore178 	 loss: 0.17,	 accuracy = 0.9349
[449] JSCore176 	 loss: 0.18,	 accuracy = 0.9327
[450] JSCore104 	 loss: 0.25,	 accuracy = 0.8974
[450] dev set  	 loss: 0.24,	 accuracy = 0.9083
[450] test set 	 loss: 0.24,	 accuracy = 0.9100
[451] JSCore179 	 loss: 0.23,	 accuracy = 0.9063
[452] Train179 	 loss: 0.27,	 accuracy = 0.8948
[453] Train185 	 loss: 0.31,	 accuracy = 0.8739
[454] JSCore106 	 loss: 0.25,	 accuracy = 0.8933
[455] JSCore137 	 loss: 0.24,	 accuracy = 0.8986
[456] Train159 	 loss: 0.23,	 accuracy = 0.9173
[457] JSCore134 	 loss: 0.19,	 accuracy = 0.9179
[458] Train157 	 loss: 0.22,	 accuracy = 0.9185
[459] Train154 	 loss: 0.22,	 accuracy = 0.9204
[460] JSCore168 	 loss: 0.23,	 accuracy = 0.9045
[461] JSCore194 	 loss: 0.22,	 accuracy = 0.9176
[462] Train164 	 loss: 0.27,	 accuracy = 0.9093
[463] JSCore107 	 loss: 0.22,	 accuracy = 0.9071
[464] Train105 	 loss: 0.23,	 accuracy = 0.9067
[465] JSCore163 	 loss: 0.22,	 accuracy = 0.9222
[466] Train173 	 loss: 0.23,	 accuracy = 0.9173
[467] Train135 	 loss: 0.27,	 accuracy = 0.9048
[468] JSCore190 	 loss: 0.23,	 accuracy = 0.9238
[469] JSCore155 	 loss: 0.25,	 accuracy = 0.8950
[470] JSCore169 	 loss: 0.22,	 accuracy = 0.9203
[471] JSCore146 	 loss: 0.17,	 accuracy = 0.9381
[472] JSCore148 	 loss: 0.20,	 accuracy = 0.9240
[473] Train199 	 loss: 0.23,	 accuracy = 0.9170
[474] JSCore161 	 loss: 0.26,	 accuracy = 0.8907
[475] JSCore133 	 loss: 0.17,	 accuracy = 0.9431
[475] dev set  	 loss: 0.20,	 accuracy = 0.9283
[475] test set 	 loss: 0.23,	 accuracy = 0.8967
[476] Train173 	 loss: 0.31,	 accuracy = 0.8743
[477] Train105 	 loss: 0.24,	 accuracy = 0.9090
[478] JSCore163 	 loss: 0.22,	 accuracy = 0.9222
[479] JSCore178 	 loss: 0.20,	 accuracy = 0.9202
[480] Train178 	 loss: 0.27,	 accuracy = 0.9001
[481] Train166 	 loss: 0.24,	 accuracy = 0.9192
[482] Train177 	 loss: 0.25,	 accuracy = 0.9058
[483] JSCore169 	 loss: 0.17,	 accuracy = 0.9313
[484] Train103 	 loss: 0.21,	 accuracy = 0.9259
[485] Train125 	 loss: 0.18,	 accuracy = 0.9491
[486] JSCore108 	 loss: 0.20,	 accuracy = 0.9260
[487] JSCore103 	 loss: 0.19,	 accuracy = 0.9215
[488] Train180 	 loss: 0.21,	 accuracy = 0.9271
[489] JSCore107 	 loss: 0.18,	 accuracy = 0.9413
[490] Train144 	 loss: 0.27,	 accuracy = 0.8961
[491] Train136 	 loss: 0.26,	 accuracy = 0.8916
[492] JSCore117 	 loss: 0.18,	 accuracy = 0.9306
[493] JSCore200 	 loss: 0.23,	 accuracy = 0.9208
[494] JSCore127 	 loss: 0.19,	 accuracy = 0.9397
[495] JSCore108 	 loss: 0.21,	 accuracy = 0.9238
[496] JSCore117 	 loss: 0.18,	 accuracy = 0.9359
[497] JSCore190 	 loss: 0.17,	 accuracy = 0.9363
[498] JSCore162 	 loss: 0.20,	 accuracy = 0.9279
[499] JSCore199 	 loss: 0.21,	 accuracy = 0.9184
[500] JSCore161 	 loss: 0.23,	 accuracy = 0.9172
[500] dev set  	 loss: 0.22,	 accuracy = 0.9100
[500] test set 	 loss: 0.25,	 accuracy = 0.8850
[501] Train130 	 loss: 0.31,	 accuracy = 0.8528
[502] Train194 	 loss: 0.31,	 accuracy = 0.8557
[503] Train132 	 loss: 0.24,	 accuracy = 0.9286
[504] JSCore119 	 loss: 0.21,	 accuracy = 0.9201
[505] JSCore103 	 loss: 0.16,	 accuracy = 0.9430
[506] Train189 	 loss: 0.23,	 accuracy = 0.9101
[507] Train172 	 loss: 0.28,	 accuracy = 0.8875
[508] Train197 	 loss: 0.25,	 accuracy = 0.8988
[509] JSCore167 	 loss: 0.18,	 accuracy = 0.9336
[510] JSCore100 	 loss: 0.16,	 accuracy = 0.9397
[511] Train185 	 loss: 0.23,	 accuracy = 0.9222
[512] JSCore166 	 loss: 0.21,	 accuracy = 0.9366
[513] JSCore112 	 loss: 0.17,	 accuracy = 0.9368
[514] Train105 	 loss: 0.19,	 accuracy = 0.9336
[515] JSCore100 	 loss: 0.15,	 accuracy = 0.9474
[516] Train193 	 loss: 0.22,	 accuracy = 0.9232
[517] JSCore185 	 loss: 0.17,	 accuracy = 0.9305
[518] JSCore101 	 loss: 0.21,	 accuracy = 0.9187
[519] Train134 	 loss: 0.20,	 accuracy = 0.9216
[520] Train177 	 loss: 0.22,	 accuracy = 0.9195
[521] JSCore163 	 loss: 0.21,	 accuracy = 0.9247
[522] JSCore125 	 loss: 0.17,	 accuracy = 0.9530

training took 1h20m
